time,open,high,low,close,volume
2026-04-14T20:39:00Z,74185.0,74247.96,74184.99,74205.47,11.48374881
2026-04-14T20:42:00Z,74205.48,74304.6,74205.47,74304.18,20.39268054
2026-04-14T20:45:00Z,74304.18,74350.62,74240.0,74254.57,45.76674433
2026-04-14T20:48:00Z,74254.56,74291.29,74226.72,74248.03,20.804767769999998
2026-04-14T20:51:00Z,74248.03,74293.25,74198.4,74214.02,19.94202242
2026-04-14T20:54:00Z,74214.01,74214.02,74150.19,74156.0,28.85767713
2026-04-14T20:57:00Z,74156.0,74156.01,74061.0,74152.37,56.03133488
2026-04-14T21:00:00Z,74152.37,74197.34,74144.25,74170.07,24.24839806
2026-04-14T21:03:00Z,74170.07,74339.99,74170.01,74237.34,39.81016353
2026-04-14T21:06:00Z,74237.34,74258.58,74226.72,74226.72,15.148662049999999
2026-04-14T21:09:00Z,74226.72,74288.97,74226.72,74280.71,17.98558564
2026-04-14T21:12:00Z,74280.7,74298.44,74242.19,74242.61,19.878456200000002
2026-04-14T21:15:00Z,74242.61,74257.83,74179.12,74179.12,20.07206566
2026-04-14T21:18:00Z,74179.12,74226.72,74164.14,74164.14,21.90044149
2026-04-14T21:21:00Z,74164.14,74164.15,74088.29,74089.05,11.84157514
2026-04-14T21:24:00Z,74089.05,74163.0,74086.02,74145.22,15.45927874
2026-04-14T21:27:00Z,74145.23,74170.08,74124.0,74170.07,12.14822758
2026-04-14T21:30:00Z,74170.07,74194.75,74123.58,74128.63,11.06439695
2026-04-14T21:33:00Z,74128.62,74128.63,74084.76,74092.51,7.98396882
2026-04-14T21:36:00Z,74092.51,74130.91,74043.38,74080.12,7.77642191
2026-04-14T21:39:00Z,74080.12,74097.5,73979.6,74042.48,13.24163687
2026-04-14T21:42:00Z,74042.47,74080.65,73984.91,74054.34,11.391555030000001
2026-04-14T21:45:00Z,74055.15,74076.59,74019.18,74019.67,4.59272494
2026-04-14T21:48:00Z,74019.67,74078.04,74019.67,74067.99,7.68727407
2026-04-14T21:51:00Z,74067.99,74246.02,74067.99,74246.01,14.945182169999999
2026-04-14T21:54:00Z,74246.01,74308.85,74230.26,74299.55,14.56310773
2026-04-14T21:57:00Z,74299.54,74364.78,74266.24,74315.62,16.92285957
2026-04-14T22:00:00Z,74315.62,74315.62,74225.01,74256.0,17.07530311
2026-04-14T22:03:00Z,74258.57,74264.0,74177.16,74237.35,20.55661202
2026-04-14T22:06:00Z,74237.35,74304.6,74192.52,74251.5,38.77379306
2026-04-14T22:09:00Z,74251.5,74417.44,74246.09,74407.22,34.61174258
2026-04-14T22:12:00Z,74407.25,74417.88,74354.16,74354.16,30.19935978
2026-04-14T22:15:00Z,74350.63,74350.63,74262.13,74276.27,21.11207684
2026-04-14T22:18:00Z,74276.27,74280.14,74055.0,74089.65,22.305250899999997
2026-04-14T22:21:00Z,74089.35,74149.93,74057.43,74127.96,27.88730465
2026-04-14T22:24:00Z,74127.6,74133.64,74078.02,74087.06,11.180877299999999
2026-04-14T22:27:00Z,74085.13,74092.99,73952.59,73962.52,51.24410258
2026-04-14T22:30:00Z,73962.53,74135.04,73854.5,74094.39,39.84080471
2026-04-14T22:33:00Z,74094.4,74101.85,73975.97,74024.95,18.660588869999998
2026-04-14T22:36:00Z,74024.95,74067.42,73947.07,73998.16,18.79058637
2026-04-14T22:39:00Z,73998.16,74085.12,73992.31,74065.01,21.18762817
2026-04-14T22:42:00Z,74065.02,74081.58,74002.02,74017.85,30.864878440000002
2026-04-14T22:45:00Z,74017.86,74124.06,74003.71,74124.05,14.55525085
2026-04-14T22:48:00Z,74124.05,74124.05,74035.69,74090.58,15.754313920000001
2026-04-14T22:51:00Z,74090.58,74137.16,74085.01,74114.49,11.00603888
2026-04-14T22:54:00Z,74114.48,74127.18,74072.92,74075.99,9.50811326
2026-04-14T22:57:00Z,74075.99,74165.81,74063.5,74067.36,17.63835219
2026-04-14T23:00:00Z,74067.32,74122.9,74046.18,74119.22,13.64703714
2026-04-14T23:03:00Z,74119.22,74201.47,74108.02,74180.71,16.25923396
